DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
10X141,RIVERDALE KINGSBRIDGE ACADEMY ,Alto,475,479,470
10X213,BRONX ENGINEERING & TECH ACADEMY ,Medio,374,402,364
10X225,Theatre Arts Production Company School ,Medio,382,375,363
10X237,"Marie Curie HS for Nur, Med and Allied Health Prof ",Medio,373,358,366
10X243,WEST BRONX ACADEMY FOR FUTURE ,Medio,365,382,375
10X268,Kingsbridge International High School ,Medio,313,316,296
10X284,BRONX SCHOOL OF LAW & FINANCE ,Medio,404,397,383
10X319,Providing Urban Learners Success in Education HS ,Bajo,349,346,364
10X342,International School of Liberal Arts ,Medio,333,336,285
10X368,Information Technology Academy ,Medio,418,411,398
10X374,Knowledge & Power Prep Acad International HS ,Bajo,,,
10X430,WALTON HIGH SCHOOL ,Bajo,,,
10X430,YABC AT WALTON HIGH SCHOOL ,Bajo,,,
10X433,HIGH SCHOOL TEACHING PROFESSNS ,Medio,386,385,381
10X434,Belmont Preparatory High School ,Medio,358,370,346
10X437,Fordham High School for the Arts ,Medio,377,375,375
10X438,Fordham Leadership Academy for Business Technolog ,Medio,375,385,373
10X439,Bronx High School of Law and Community Service ,Medio,389,400,382
10X440,DeWitt Clinton High School ,Alto,425,440,417
10X442,BRONX HIGH SCHOOL OF MUSIC ,Medio,421,432,439
10X445,BRONX HIGH SCHOOL OF SCIENCE ,Alto,632,685,643
10X475,JOHN F KENNEDY HIGH SCHOOL ,Medio,364,375,358
10X477,MARBLE HILL SCH INTL STUDIES ,Medio,406,429,403
10X478,YABC AT JOHN F. KENNEDY HIGH SCHOOL ,Bajo,389,383,364
10X546,BRONX THEATER HIGH SCHOOL ,Medio,406,389,388
10X549,DISCOVERY HIGH SCHOOL ,Medio,340,340,351
10X660,Grace Dodge Vocational High School ,Medio,380,385,369
10X667,YABC AT GRACE DODGE HIGH SCHOOL ,Bajo,367,378,358
10X696,HS of American Studies at Lehman College ,Medio,635,630,619
11X249,Bronx Health School High School 11x249 ,Medio,363,366,364
11X253,High School For Writing & Communication Arts ,Medio,393,363,387
11X265,BRONX LAB SCHOOL ,Medio,356,370,355
11X270,Academy for Scholarship and Entrepreneurship ,Medio,373,376,362
11X275,High School of Computers and Technology ,Medio,399,402,373
